# Constructed from biom file
#OTU ID	SRR22990781	SRR22990782	SRR22990783	SRR22990784	SRR22990785	SRR22990786	SRR22990787	SRR22990788	SRR22990789	SRR22990790	SRR22990791	SRR22990792	SRR22990793	SRR22990794	SRR22990795	SRR22990796	SRR22990797	SRR22990798	SRR22990799	SRR22990800	SRR22990801	SRR22990802	SRR22990803	SRR22990804	SRR22990805	SRR22990806
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tyzzerella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	66.0	0.0	114.0	28.0	0.0	0.0	0.0	0.0	0.0	168.0	0.0	0.0	61.0	0.0	181.0	88.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group	0.0	0.0	0.0	101.0	10.0	66.0	239.0	0.0	89.0	0.0	0.0	76.0	38.0	0.0	159.0	0.0	167.0	0.0	86.0	0.0	222.0	0.0	0.0	0.0	0.0	170.0
Unassigned;__;__;__;__;__	0.0	0.0	0.0	0.0	475.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	321.0	0.0	131.0	0.0	225.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.0	82.0	0.0	0.0	0.0	32.0	187.0	0.0	26.0	17.0	0.0	48.0	219.0	37.0	0.0	120.0	0.0	4.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia	0.0	0.0	0.0	143.0	91.0	184.0	23.0	64.0	73.0	0.0	0.0	108.0	46.0	374.0	184.0	0.0	52.0	0.0	277.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor	40.0	0.0	13.0	0.0	18.0	10.0	0.0	102.0	31.0	9.0	0.0	0.0	16.0	128.0	0.0	253.0	44.0	0.0	99.0	308.0	0.0	0.0	36.0	73.0	16.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group	0.0	0.0	0.0	199.0	635.0	305.0	163.0	180.0	29.0	0.0	0.0	82.0	0.0	14.0	300.0	0.0	313.0	0.0	0.0	0.0	0.0	0.0	439.0	0.0	0.0	638.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1819	0.0	255.0	0.0	0.0	102.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	13.0	120.0	0.0	0.0	0.0	0.0	0.0	92.0	0.0	0.0	94.0	0.0	0.0	37.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella	47.0	128.0	0.0	0.0	0.0	0.0	27.0	45.0	0.0	0.0	0.0	0.0	405.0	49.0	0.0	0.0	27.0	0.0	24.0	80.0	240.0	59.0	0.0	3.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-005	63.0	0.0	0.0	40.0	178.0	11.0	55.0	255.0	152.0	0.0	0.0	81.0	0.0	333.0	112.0	0.0	91.0	0.0	42.0	0.0	94.0	0.0	219.0	0.0	0.0	363.0
