# Constructed from biom file
#OTU ID	SRR22990781	SRR22990782	SRR22990783	SRR22990784	SRR22990785	SRR22990786	SRR22990787	SRR22990788	SRR22990789	SRR22990790	SRR22990791	SRR22990792	SRR22990793	SRR22990794	SRR22990795	SRR22990796	SRR22990797	SRR22990798	SRR22990799	SRR22990800	SRR22990801	SRR22990802	SRR22990803	SRR22990804	SRR22990805	SRR22990806
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;__	0.0	0.0	0.0	0.0	27.0	3.0	169.0	17.0	4.0	0.0	0.0	25.0	180.0	0.0	1660.0	188.0	0.0	0.0	8.0	603.0	0.0	0.0	3.0	0.0	124.0	199.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;__	732.0	984.0	261.0	715.0	579.0	128.0	59.0	1551.0	1587.0	0.0	0.0	19.0	0.0	1313.0	7.0	438.0	319.0	71.0	303.0	2470.0	254.0	62.0	431.0	890.0	90.0	135.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Megasphaera;__	0.0	0.0	0.0	111.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	257.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	4025.0	37.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	0.0	592.0	0.0	373.0	0.0	53.0	27.0	0.0	123.0	0.0	0.0	42.0	32.0	594.0	0.0	593.0	108.0	0.0	189.0	0.0	262.0	0.0	60.0	0.0	0.0	15.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella;__	0.0	2414.0	1370.0	80.0	0.0	0.0	0.0	2804.0	0.0	0.0	0.0	0.0	0.0	0.0	366.0	284.0	0.0	57.0	0.0	0.0	52.0	0.0	0.0	747.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__;__	64.0	1273.0	9.0	0.0	0.0	0.0	0.0	0.0	83.0	0.0	551.0	0.0	85.0	138.0	216.0	92.0	0.0	0.0	0.0	0.0	6.0	1660.0	0.0	10.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_ruminis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	949.0	1436.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	180.0	104.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus;__	135.0	0.0	0.0	426.0	7.0	517.0	116.0	28.0	123.0	62.0	0.0	442.0	121.0	404.0	309.0	392.0	203.0	0.0	225.0	0.0	0.0	12.0	80.0	0.0	52.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_bifidum	183.0	0.0	0.0	319.0	89.0	0.0	1024.0	0.0	0.0	0.0	0.0	0.0	0.0	258.0	214.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	53.0	156.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;__;__	161.0	0.0	0.0	0.0	165.0	642.0	220.0	7.0	483.0	0.0	0.0	253.0	8.0	45.0	270.0	0.0	59.0	0.0	122.0	4.0	0.0	2.0	17.0	0.0	887.0	2028.0
